,Age,Gender,Income,Location,Ad Type,Ad Topic,Ad Placement,Clicks,Click Time,Conversion Rate,CTR
0,61,Male,35717.43,Urban,Banner,Travel,Social Media,3,2024-01-18 20:45:56.898459,0.0981,0.0737
1,41,Male,47453.25,Rural,Video,Travel,Search Engine,5,2023-04-24 20:45:56.898459,0.0937,0.0592
2,49,Female,68126.35,Rural,Text,Food,Social Media,4,2024-02-24 20:45:56.898459,0.1912,0.0563
3,68,Female,64585.73,Suburban,Text,Health,Website,6,2023-12-13 20:45:56.898459,0.1122,0.0232
4,63,Male,21109.4,Urban,Native,Fashion,Search Engine,5,2023-07-02 20:45:56.898459,0.1426,0.0539
5,20,Male,39576.44,Suburban,Video,Health,Social Media,5,2024-02-19 20:45:56.898459,0.1824,0.0424
6,49,Female,64175.02,Rural,Text,Food,Search Engine,6,2023-09-09 20:45:56.898459,0.217,0.0383
7,32,Female,86262.4,Rural,Banner,Food,Social Media,4,2023-12-21 20:45:56.898459,0.1728,0.0707
8,33,Male,25917.02,Rural,Video,Food,Search Engine,3,2023-10-05 20:45:56.898459,0.0347,0.0488
9,41,Male,79881.45,Rural,Text,Technology,Social Media,6,2023-07-25 20:45:56.898459,0.077,0.0268
10,37,Male,23818.88,Rural,Banner,Food,Search Engine,2,2023-11-24 20:45:56.898459,0.2038,0.053
11,56,Male,84335.16,Rural,Video,Food,Search Engine,8,2024-01-03 20:45:56.898459,0.164,0.0777
12,46,Male,14832.77,Urban,Video,Health,Search Engine,4,2023-11-22 20:45:56.898459,0.267,0.0492
13,36,Male,56217.3,Rural,Native,Fashion,Search Engine,3,2023-09-07 20:45:56.898459,0.1816,0.0588
14,41,Female,18577.67,Suburban,Native,Health,Search Engine,4,2024-04-17 20:45:56.898459,0.3894,0.034
15,40,Female,36197.15,Suburban,Video,Technology,Website,5,2023-11-08 20:45:56.898459,0.0411,0.0336
16,57,Female,29682.04,Rural,Video,Technology,Search Engine,10,2023-12-07 20:45:56.898459,0.119,0.0538
17,31,Male,58803.46,Urban,Video,Finance,Search Engine,7,2023-06-19 20:45:56.898459,0.0919,0.0716
18,39,Male,83984.08,Suburban,Native,Food,Search Engine,2,2024-03-13 20:45:56.898459,0.2154,0.071
19,22,Male,84372.99,Suburban,Native,Food,Website,5,2023-09-25 20:45:56.898459,0.1317,0.0536
21,44,Male,64462.59,Suburban,Banner,Food,Website,5,2023-10-20 20:45:56.898459,0.2373,0.1022
22,47,Female,51481.84,Urban,Native,Health,Search Engine,4,2023-06-08 20:45:56.898459,0.0358,0.0543
23,23,Female,43155.09,Rural,Video,Technology,Social Media,4,2023-11-24 20:45:56.898459,0.1346,0.0559
24,69,Female,40065.86,Rural,Native,Technology,Social Media,1,2024-03-15 20:45:56.898459,0.2226,0.048
26,35,Male,76422.96,Urban,Banner,Fashion,Website,8,2024-03-20 20:45:56.898459,0.3863,0.0466
27,32,Male,55448.78,Suburban,Native,Health,Social Media,6,2023-10-25 20:45:56.898459,0.5843,0.0777
28,57,Female,62817.58,Rural,Native,Food,Website,4,2023-08-20 20:45:56.898459,0.1057,0.0547
29,57,Male,30756.85,Urban,Banner,Travel,Social Media,0,2023-09-11 20:45:56.898459,0.232,0.0508
30,37,Male,43693.41,Urban,Video,Finance,Social Media,6,2023-11-03 20:45:56.898459,0.2854,0.0664
