,Income,Location,Ad Type,Ad Placement,Clicks,Conversion Rate,CTR,Ad Type_Text,Ad Type_Video
0,35717.43,Urban,Banner,Social Media,3,0.0981,0.0737,False,False
1,64585.73,Suburban,Text,Website,6,0.1122,0.0232,True,False
2,21109.4,Urban,Native,Search Engine,5,0.1426,0.0539,False,False
3,84335.16,Rural,Video,Search Engine,8,0.164,0.0777,False,True
4,29682.04,Rural,Video,Search Engine,10,0.119,0.0538,False,True
5,40065.86,Rural,Native,Social Media,1,0.2226,0.048,False,False
6,62817.58,Rural,Native,Website,4,0.1057,0.0547,False,False
7,30756.85,Urban,Banner,Social Media,0,0.232,0.0508,False,False
8,45947.1,Rural,Video,Website,5,0.0538,0.0303,False,True
9,51355.06,Urban,Banner,Search Engine,6,0.2863,0.058,False,False
10,23174.34,Rural,Text,Social Media,3,0.071,0.0678,True,False
11,68853.82,Urban,Banner,Search Engine,3,0.0596,0.0254,False,False
12,44979.21,Urban,Native,Social Media,0,0.1081,0.0165,False,False
13,35720.87,Rural,Text,Social Media,5,0.2205,0.026,True,False
14,67818.54,Rural,Video,Search Engine,5,0.245,0.0278,False,True
15,100260.79,Urban,Native,Search Engine,5,0.188,0.0674,False,False
16,33027.18,Suburban,Native,Search Engine,4,0.3081,0.0236,False,False
17,70786.39,Suburban,Native,Website,2,0.0292,0.0705,False,False
18,27858.24,Urban,Video,Social Media,7,0.0656,0.084,False,True
19,18081.34,Urban,Video,Search Engine,5,0.3892,0.0208,False,True
20,13715.06,Rural,Banner,Social Media,7,0.2759,0.0371,False,False
21,53396.39,Rural,Native,Social Media,9,0.2716,0.034,False,False
22,47409.79,Rural,Banner,Social Media,4,0.053,0.025,False,False
23,43529.85,Urban,Video,Search Engine,3,0.0988,0.0793,False,True
24,49525.38,Urban,Banner,Search Engine,6,0.2495,0.0456,False,False
25,15418.29,Rural,Text,Social Media,9,0.1383,0.0703,True,False
26,84652.97,Suburban,Text,Search Engine,5,0.3645,0.0625,True,False
27,60914.57,Suburban,Video,Website,5,0.0683,0.0556,False,True
28,25592.38,Rural,Native,Website,6,0.1135,0.003,False,False
29,51146.08,Rural,Banner,Search Engine,5,0.2215,0.0249,False,False
30,59326.49,Urban,Banner,Search Engine,7,0.1706,0.0524,False,False
31,38487.22,Rural,Native,Website,4,0.0248,0.0608,False,False
32,26523.66,Suburban,Text,Website,5,0.2946,0.0706,True,False
33,43385.61,Rural,Native,Website,5,0.0557,0.0529,False,False
34,75204.79,Urban,Text,Social Media,7,0.1795,0.0406,True,False
35,36943.76,Urban,Video,Website,4,0.0912,0.012,False,True
36,49612.53,Urban,Video,Search Engine,4,0.2966,0.0615,False,True
37,55183.82,Suburban,Native,Website,7,0.0629,0.0375,False,False
38,47074.04,Suburban,Text,Website,7,0.3212,0.0746,True,False
39,51117.44,Urban,Video,Search Engine,4,0.0764,0.0337,False,True
40,13674.28,Suburban,Native,Search Engine,3,0.063,0.0489,False,False
41,85562.57,Suburban,Video,Search Engine,1,0.3251,0.0243,False,True
42,39061.49,Urban,Native,Social Media,4,0.2265,0.0965,False,False
43,25979.28,Rural,Video,Social Media,5,0.0836,0.0603,False,True
44,39916.33,Rural,Banner,Social Media,4,0.0542,0.0207,False,False
45,23723.76,Suburban,Video,Search Engine,6,0.0383,0.0257,False,True
46,19457.81,Rural,Video,Website,4,0.2873,0.0601,False,True
47,24481.97,Suburban,Native,Social Media,2,0.2859,0.0849,False,False
48,58787.03,Suburban,Text,Search Engine,4,0.1499,0.0647,True,False
49,33761.56,Rural,Text,Social Media,4,0.09,0.0497,True,False
